entity_a,entity_b,pair_count,expected_count,lift,pair_share_of_titles,entity_a_title_count,entity_b_title_count
International TV Shows,TV Dramas,514,117.04473714091064,4.391483227316691,0.058362666061087774,1351,763
Dramas,Independent Movies,588,208.33564210287273,2.8223687222451126,0.06676507323719769,2427,756
International TV Shows,TV Comedies,240,89.1258090155558,2.6928226812293055,0.027251050300897015,1351,581
Comedies,Romantic Movies,277,117.08686272283411,2.3657649847165976,0.03145225388895197,1674,616
Children & Family Movies,Comedies,270,121.83876461905302,2.2160434804488953,0.03065743158850914,641,1674
TV Comedies,TV Dramas,106,50.33530146474396,2.1058779209705323,0.012035880549562847,581,763
Dramas,International Movies,1483,758.3858294538435,1.9554690269832602,0.16838878165095947,2427,2752
International Movies,Romantic Movies,372,192.4868854320427,1.9325991958622772,0.04223912796639037,2752,616
Dramas,Romantic Movies,308,169.75496763937778,1.8143798928718582,0.0349721812194845,2427,616
Dramas,Thrillers,256,159.00749403883276,1.609987010659257,0.02906778698762348,2427,577
Comedies,International Movies,804,523.0893607357783,1.5370222764024342,0.091291018508005,1674,2752
International Movies,Thrillers,272,180.30021573748155,1.5085949780339365,0.030884523674349948,2752,577
